,number_of_a,number_of_b,number_of_used_a,number_of_used_b,status,Total cost
198,3,48,3,10,Optimal,1378429
199,3,49,3,10,Optimal,1378429
200,4,0,4,0,Infeasible,4697114
201,4,1,4,1,Infeasible,4179531
202,4,2,4,2,Infeasible,3097621
203,4,3,4,3,Infeasible,1533127
204,4,4,4,4,Infeasible,3164674
205,4,5,4,5,Infeasible,2575015
206,4,6,4,6,Infeasible,2319498
207,4,7,4,7,Infeasible,1386525
208,4,8,4,8,Infeasible,1354436
209,4,9,4,9,Optimal,1349405
210,4,10,4,10,Optimal,1348379
211,4,11,4,10,Optimal,1348379
212,4,12,4,10,Optimal,1348379
213,4,13,4,10,Optimal,1348379
214,4,14,4,10,Optimal,1348379
215,4,15,4,10,Optimal,1348379
216,4,16,4,10,Optimal,1348379
217,4,17,4,10,Optimal,1348379
218,4,18,4,10,Optimal,1348379
219,4,19,4,10,Optimal,1348379
220,4,20,4,10,Optimal,1348379
221,4,21,4,10,Optimal,1348379
222,4,22,4,10,Optimal,1348379
223,4,23,4,10,Optimal,1348379
224,4,24,4,10,Optimal,1348379
225,4,25,4,10,Optimal,1348379
226,4,26,4,10,Optimal,1348379
227,4,27,4,10,Optimal,1348379
228,4,28,4,10,Optimal,1348379
229,4,29,4,10,Optimal,1348379
230,4,30,4,10,Optimal,1348379
231,4,31,4,10,Optimal,1348379
232,4,32,4,10,Optimal,1348379
233,4,33,4,10,Optimal,1348379
234,4,34,4,10,Optimal,1348379
235,4,35,4,10,Optimal,1348379
236,4,36,4,10,Optimal,1348379
237,4,37,4,10,Optimal,1348379
238,4,38,4,10,Optimal,1348379
239,4,39,4,10,Optimal,1348379
240,4,40,4,10,Optimal,1348379
241,4,41,4,10,Optimal,1348379
242,4,42,4,10,Optimal,1348379
243,4,43,4,10,Optimal,1348379
244,4,44,4,10,Optimal,1348379
245,4,45,4,10,Optimal,1348379
246,4,46,4,10,Optimal,1348379
247,4,47,4,10,Optimal,1348379
248,4,48,4,10,Optimal,1348379
249,4,49,4,10,Optimal,1348379
250,5,0,5,0,Infeasible,2487362
251,5,1,5,1,Infeasible,4115750
252,5,2,5,2,Infeasible,3388765
253,5,3,5,3,Infeasible,2289051
254,5,4,5,4,Infeasible,2167053
255,5,5,5,5,Infeasible,1578869
256,5,6,5,6,Infeasible,1375315
257,5,7,5,7,Infeasible,1326897
258,5,8,5,8,Optimal,1318733
259,5,9,5,8,Optimal,1318733
260,5,10,5,8,Optimal,1318733
261,5,11,5,8,Optimal,1318733
262,5,12,5,8,Optimal,1318733
263,5,13,5,8,Optimal,1318733
264,5,14,5,8,Optimal,1318733
265,5,15,5,8,Optimal,1318733
266,5,16,5,8,Optimal,1318733
267,5,17,5,8,Optimal,1318733
268,5,18,5,8,Optimal,1318733
269,5,19,5,8,Optimal,1318733
270,5,20,5,8,Optimal,1318733
271,5,21,5,8,Optimal,1318733
272,5,22,5,8,Optimal,1318733
273,5,23,5,8,Optimal,1318733
274,5,24,5,8,Optimal,1318733
275,5,25,5,8,Optimal,1318733
276,5,26,5,8,Optimal,1318733
277,5,27,5,8,Optimal,1318733
278,5,28,5,8,Optimal,1318733
279,5,29,5,8,Optimal,1318733
280,5,30,5,8,Optimal,1318733
281,5,31,5,8,Optimal,1318733
282,5,32,5,8,Optimal,1318733
283,5,33,5,8,Optimal,1318733
284,5,34,5,8,Optimal,1318733
285,5,35,5,8,Optimal,1318733
286,5,36,5,8,Optimal,1318733
287,5,37,5,8,Optimal,1318733
288,5,38,5,8,Optimal,1318733
289,5,39,5,8,Optimal,1318733
290,5,40,5,8,Optimal,1318733
291,5,41,5,8,Optimal,1318733
292,5,42,5,8,Optimal,1318733
293,5,43,5,8,Optimal,1318733
294,5,44,5,8,Optimal,1318733
295,5,45,5,8,Optimal,1318733
296,5,46,5,8,Optimal,1318733
297,5,47,5,8,Optimal,1318733
298,5,48,5,8,Optimal,1318733
299,5,49,5,8,Optimal,1318733
300,6,0,6,0,Infeasible,3539713
301,6,1,6,1,Infeasible,3632144
302,6,2,6,2,Infeasible,2609224
303,6,3,6,3,Infeasible,2085714
304,6,4,6,4,Infeasible,1709557
305,6,5,6,5,Infeasible,1329517
306,6,6,5,5,Infeasible,914310
307,6,7,6,7,Optimal,1298026
308,6,8,6,8,Optimal,1294216
309,6,9,6,8,Optimal,1294216
310,6,10,6,8,Optimal,1294216
311,6,11,6,8,Optimal,1294216
